merchant_id,company_age_years,ownership_flag,sanctions_flag,compliance_flag,business_size,industry,country
M0001,2.1,0,0,0,Small,Education,Nigeria
M0002,2.7,0,0,0,Medium,Healthcare,France
M0003,2.5,0,0,0,Small,Retail,"United Kingdom"
M0004,5.6,0,0,0,Large,Events,Australia
M0005,2.1,0,0,0,Small,Retail,Australia
M0006,2.2,0,0,0,Small,Travel,"United Kingdom"
M0007,4.3,0,0,0,Small,Healthcare,"United States"
M0008,3.8,0,0,0,Small,Education,"United States"
M0009,6.8,0,0,0,Small,"Digital Services",Canada
M0010,2.6,0,0,0,Small,SaaS/Subscriptions,India
M0011,1.4,0,0,0,Small,"Consumer Services",France
M0012,4.2,0,0,0,Small,Healthcare,India
M0013,3.8,1,0,0,Small,"Digital Services",France
M0014,4.1,0,0,0,Small,Hospitality,Germany
M0015,6.5,0,0,0,Small,Retail,Canada
M0016,3.4,0,0,0,Small,Travel,"United States"
M0017,2.8,1,0,0,Small,Hospitality,"United Arab Emirates"
M0018,1.6,0,0,0,Small,Education,Canada
M0019,1.6,0,0,0,Small,"Digital Services","South Africa"
M0020,4.1,1,0,0,Medium,"Consumer Services",Canada
M0021,1.4,0,0,0,Large,SaaS/Subscriptions,"United States"
M0022,3.9,1,0,0,Large,SaaS/Subscriptions,Germany
M0023,3.3,0,0,0,Small,Retail,"United States"
M0024,3.5,0,0,0,Small,Hospitality,"United States"
M0025,1.2,0,0,0,Small,Hospitality,Singapore
M0026,2.7,0,0,0,Medium,Retail,Australia
M0027,6.3,0,0,0,Medium,Events,Canada
M0028,6.6,0,0,0,Medium,Education,Brazil
M0029,4.6,0,0,0,Medium,Retail,Australia
M0030,4.0,0,0,0,Small,Healthcare,Canada
M0031,3.1,0,0,0,Medium,"Digital Services","United States"
M0032,4.2,0,0,0,Medium,SaaS/Subscriptions,"United Kingdom"
M0033,4.0,0,0,0,Small,Healthcare,"United Arab Emirates"
M0034,1.6,0,0,0,Large,"Digital Services",Brazil
M0035,5.0,0,0,0,Small,SaaS/Subscriptions,"United States"
M0036,4.1,0,0,0,Large,Events,India
M0037,3.7,0,0,0,Medium,Education,Singapore
M0038,4.3,1,0,0,Small,Hospitality,"United States"
M0039,1.4,0,0,0,Medium,Hospitality,Germany
M0040,1.4,0,0,0,Small,Travel,"South Africa"
M0041,NULL,0,0,0,Medium,"Digital Services",Singapore
M0042,4.4,0,0,0,Medium,Education,"United Kingdom"
M0043,3.6,0,0,0,Medium,"Digital Services",Brazil
M0044,5.9,0,0,0,Medium,"Digital Services","United Kingdom"
M0045,4.5,0,0,0,Small,Retail,Brazil
M0046,5.7,0,0,0,Small,Retail,"United Kingdom"
M0047,6.2,0,0,1,Small,Hospitality,"United Arab Emirates"
M0048,6.4,0,0,0,Small,Travel,Germany
M0049,3.6,0,0,0,Small,Education,"United Kingdom"
M0050,7.0,0,0,0,Small,Retail,Brazil
M0051,3.2,0,0,0,Small,Retail,"United States"
M0052,4.5,1,0,0,Small,"Digital Services","United States"
M0053,4.9,0,0,0,Medium,Education,"United Kingdom"
M0054,2.5,0,0,0,Small,Retail,Australia
M0055,3.9,0,0,0,Medium,Retail,Canada
M0056,2.7,0,0,0,Small,SaaS/Subscriptions,France
M0057,2.9,0,0,0,Small,Travel,"United Kingdom"
M0058,6.8,1,0,0,Small,Retail,Germany
M0059,5.7,0,0,0,Small,Hospitality,"United States"
M0060,3.7,0,0,0,Small,SaaS/Subscriptions,"United Arab Emirates"
M0061,1.3,0,0,0,Small,Healthcare,France
M0062,6.1,1,0,0,Small,Events,Australia
M0063,6.4,0,0,0,Small,Travel,"United Arab Emirates"
M0064,1.5,0,0,0,Medium,Events,Germany
M0065,1.4,0,0,0,Small,SaaS/Subscriptions,"South Africa"
M0066,6.0,0,0,0,Medium,Education,India
M0067,4.7,0,0,0,Small,Retail,"United States"
M0068,3.3,0,0,0,Large,"Digital Services",Germany
M0069,5.9,0,0,0,Medium,Education,"United States"
M0070,5.1,1,0,0,Large,SaaS/Subscriptions,"United States"
M0071,4.7,0,0,0,Medium,"Digital Services","United States"
M0072,3.3,0,0,0,Small,Hospitality,India
M0073,5.2,0,0,0,Small,Travel,Singapore
M0074,4.6,0,0,0,Small,Travel,"United Kingdom"
M0075,5.3,1,0,0,Medium,"Digital Services",Germany
M0076,2.6,0,0,0,Medium,Retail,Nigeria
M0077,6.1,0,0,0,Small,Hospitality,Australia
M0078,5.7,0,0,0,Large,Retail,India
M0079,5.5,1,0,0,Small,Hospitality,"United Kingdom"
M0080,1.7,0,1,0,Medium,"Digital Services","South Africa"
M0081,1.5,0,0,0,Medium,Retail,"United Kingdom"
M0082,4.1,0,0,0,Small,SaaS/Subscriptions,"United Kingdom"
M0083,6.1,0,0,0,Medium,SaaS/Subscriptions,"South Africa"
M0084,2.6,0,0,0,Medium,Education,India
M0085,4.1,0,0,0,Small,SaaS/Subscriptions,Australia
M0086,2.0,0,0,0,Small,Travel,"United Arab Emirates"
M0087,4.9,0,0,0,Small,Travel,Singapore
M0088,1.2,0,0,0,Medium,"Consumer Services","United Kingdom"
M0089,2.3,0,0,0,Small,Healthcare,"United Kingdom"
M0090,5.7,0,0,0,Large,"Digital Services","United Kingdom"
M0091,2.8,0,0,0,Medium,Events,"United States"
M0092,5.3,0,0,1,Small,"Consumer Services",Brazil
M0093,5.0,0,0,1,Small,"Digital Services","United Kingdom"
M0094,5.5,0,0,0,Medium,"Digital Services","United Arab Emirates"
M0095,3.0,0,0,0,Medium,Retail,Canada
M0096,5.5,0,0,0,Small,Events,Canada
M0097,3.3,0,0,0,Small,Travel,Germany
M0098,3.6,0,0,0,Small,Healthcare,India
M0099,2.6,0,0,0,Large,Retail,France
M0100,1.2,0,0,0,Small,Hospitality,Singapore
M0101,6.9,0,0,0,Medium,SaaS/Subscriptions,Canada
M0102,1.2,0,0,0,Small,Retail,"South Africa"
M0103,6.4,0,0,0,Large,Hospitality,Canada
M0104,3.9,0,0,0,Small,Healthcare,"United States"
M0105,5.0,0,0,0,Small,"Digital Services","United Arab Emirates"
M0106,3.3,0,0,0,Large,"Digital Services","United States"
M0107,2.8,1,0,0,Large,Retail,Singapore
M0108,2.0,0,0,0,Small,Education,Nigeria
M0109,4.7,0,0,0,Small,Retail,India
M0110,1.6,0,0,0,Small,Education,Germany
M0111,5.1,1,0,0,Small,Travel,"United States"
M0112,5.8,1,0,0,Small,SaaS/Subscriptions,Nigeria
M0113,4.8,0,0,0,Medium,Travel,"United States"
M0114,3.9,0,0,0,Small,Retail,"United States"
M0115,3.1,1,0,0,Medium,SaaS/Subscriptions,"United Kingdom"
M0116,2.1,0,0,0,Small,Hospitality,"United States"
M0117,5.7,0,0,0,Small,Travel,India
M0118,5.2,0,0,0,Medium,Retail,India
M0119,1.5,0,0,0,Small,Hospitality,"United Kingdom"
M0120,4.4,0,0,0,Medium,"Consumer Services","United States"
M0121,5.6,0,0,0,Small,Retail,"United States"
M0122,1.3,0,0,0,Large,SaaS/Subscriptions,Germany
M0123,4.4,NULL,0,0,Medium,Retail,"United States"
M0124,1.3,0,0,0,Medium,Travel,Singapore
M0125,1.6,0,0,0,Small,"Consumer Services","United States"
M0126,1.7,0,0,0,Small,Retail,"United Kingdom"
M0127,3.6,0,1,0,Small,"Digital Services",Germany
M0128,2.3,1,0,0,Small,Travel,Germany
M0129,1.4,0,0,0,Small,Retail,"United States"
M0130,5.4,0,0,0,Small,Retail,"United States"
M0131,6.8,0,0,0,Small,"Consumer Services",Brazil
M0132,5.1,0,0,0,Small,Retail,"United States"
M0133,3.3,0,0,0,Small,Retail,India
M0134,3.8,0,0,0,Small,Events,India
M0135,6.5,0,1,0,Small,SaaS/Subscriptions,"United Kingdom"
M0136,3.7,0,0,0,Medium,Retail,Germany
M0137,6.0,0,0,0,Small,Retail,Canada
M0138,4.1,1,0,0,Small,Travel,Brazil
M0139,3.6,0,0,0,Small,Healthcare,"United Kingdom"
M0140,3.3,0,0,0,Medium,Healthcare,"United Kingdom"
M0141,4.6,0,0,1,Small,Hospitality,"United Kingdom"
M0142,4.6,0,0,0,Medium,Retail,India
M0143,3.0,0,0,0,Large,Travel,Singapore
M0144,2.6,0,0,0,Small,Education,"United Kingdom"
M0145,2.3,0,0,0,Large,Events,"United Kingdom"
M0146,5.1,1,0,0,Medium,Education,Nigeria
M0147,4.5,0,1,0,Small,"Digital Services","United States"
M0148,5.1,0,0,0,Small,"Digital Services",India
M0149,3.9,0,0,0,Medium,Travel,Australia
M0150,6.3,0,0,0,Large,"Consumer Services","United States"
M0151,4.5,0,0,0,Small,Events,"United States"
M0152,5.9,0,0,0,Small,Travel,"United States"
M0153,3.9,0,0,0,Medium,Retail,"South Africa"
M0154,2.0,0,0,0,Small,SaaS/Subscriptions,"United States"
M0155,1.3,0,0,0,Medium,Healthcare,"United States"
M0156,NULL,0,0,0,Small,"Digital Services","United States"
M0157,6.7,0,0,0,Medium,SaaS/Subscriptions,"United States"
M0158,5.7,0,0,0,Medium,"Consumer Services","United Arab Emirates"
M0159,6.4,0,0,0,Medium,SaaS/Subscriptions,"United Kingdom"
M0160,2.6,0,0,0,Medium,Retail,"United Arab Emirates"
M0161,1.3,NULL,0,0,Medium,Events,"United Arab Emirates"
M0162,3.8,0,0,0,Medium,"Consumer Services",Brazil
M0163,6.0,0,0,0,Medium,Hospitality,"United States"
M0164,6.9,0,0,0,Small,Travel,Brazil
M0165,1.3,0,0,0,Medium,Retail,"United Arab Emirates"
M0166,5.2,1,0,0,Small,"Consumer Services","United States"
M0167,6.3,0,0,0,Medium,Healthcare,Canada
M0168,6.0,1,0,0,Medium,"Digital Services",Brazil
M0169,5.5,0,0,0,Small,Healthcare,"United Kingdom"
M0170,3.2,0,0,0,Small,Healthcare,"South Africa"
M0171,1.8,0,0,0,Small,Retail,India
M0172,5.4,0,1,0,Medium,SaaS/Subscriptions,"United Arab Emirates"
M0173,3.0,0,0,0,Small,"Digital Services",France
M0174,6.6,0,0,0,Small,Education,Germany
M0175,6.9,0,0,0,Medium,SaaS/Subscriptions,Canada
M0176,6.7,1,0,0,Medium,Travel,"United Kingdom"
M0177,1.6,0,0,0,Small,"Digital Services",Canada
M0178,3.6,0,0,0,Small,Events,"United Arab Emirates"
M0179,2.3,0,0,0,Large,"Consumer Services","United States"
M0180,6.9,0,0,0,Medium,Events,Germany
M0181,6.9,0,0,0,Medium,Hospitality,"United Kingdom"
M0182,2.1,0,0,0,Small,Healthcare,"United States"
M0183,6.4,0,0,1,Small,Hospitality,"United States"
M0184,6.1,0,0,0,Small,Hospitality,"United Kingdom"
M0185,4.0,0,0,0,Medium,Retail,"United States"
M0186,3.5,1,0,0,Small,Healthcare,"United States"
M0187,5.7,0,0,0,Small,Hospitality,Australia
