merchant_id,month,chargebacks,refunds,fraud_cases,risk_score
M0598,2024-03,4,20,1,15
M0407,2024-02,6,10,3,67
M0090,2024-05,23,139,10,21
M0340,2024-12,13,65,3,20
M0336,2024-11,1,6,0,24
M0282,2024-01,1,4,0,17
M0487,2024-10,37,288,29,18
M0235,2024-11,3,27,1,16
M0393,2024-05,0,2,0,13
M0359,2024-11,1,5,1,19
M0211,2024-11,0,2,0,22
M0114,2024-02,0,1,0,12
M0407,2024-04,7,11,5,63
M0003,2024-09,1,5,0,19
M0456,2024-07,0,1,0,20
M0146,2024-11,5,24,3,20
M0579,2024-12,45,185,39,18
M0418,2024-08,1,10,2,16
M0081,2024-03,4,20,1,18
M0328,2024-08,21,68,9,40
M0298,2024-06,36,147,14,20
M0050,2024-07,0,2,0,19
M0392,2024-02,3,36,2,25
M0118,2024-06,1,9,1,15
M0412,2024-09,11,36,2,24
M0562,2024-11,2,3,0,18
M0249,2024-11,4,12,2,20
M0581,2024-04,2,33,2,20
M0108,2024-12,3,7,1,42
M0023,2024-06,0,2,0,18
M0325,2024-05,4,49,2,23
M0101,2024-07,10,30,4,14
M0178,2024-02,0,5,0,20
M0396,2024-06,55,198,19,20
M0046,2024-04,1,3,0,13
M0215,2024-04,1,3,0,14
M0134,2024-07,0,4,0,14
M0067,2024-05,1,3,1,15
M0574,2024-09,7,21,1,23
M0553,2024-07,1,2,1,43
M0326,2024-12,3,9,0,15
M0089,2024-03,0,2,0,22
M0031,2024-05,5,46,3,19
M0090,2024-09,17,112,6,14
M0389,2024-02,1,7,1,21
M0440,2024-04,1,2,0,16
M0276,2024-06,1,5,0,23
M0477,2024-03,1,2,0,25
M0363,2024-12,1,4,1,22
M0231,2024-12,3,24,2,24
M0550,2024-01,1,2,0,20
M0467,2024-12,1,5,0,26
M0262,2024-09,0,1,0,16
M0535,2024-03,3,31,3,11
M0167,2024-05,3,18,1,25
M0279,2024-08,2,6,1,21
M0544,2024-10,25,67,9,21
M0494,2024-08,1,3,0,21
M0326,2024-03,2,11,0,13
M0387,2024-05,16,42,5,23
M0499,2024-05,5,25,1,27
M0062,2024-07,3,10,2,29
M0576,2024-04,4,39,1,16
M0306,2024-01,1,3,0,12
M0464,2024-03,12,70,4,22
M0399,2024-11,1,3,0,15
M0479,2024-01,4,14,1,11
M0250,2024-01,0,5,0,14
M0344,2024-12,1,4,1,13
M0072,2024-04,2,11,0,24
M0282,2024-04,1,4,0,14
M0308,2024-10,52,115,14,41
M0413,2024-10,44,186,23,25
M0243,2024-06,1,6,0,24
M0385,2024-04,2,8,1,16
M0384,2024-03,2,4,0,24
M0261,2024-05,0,1,0,18
M0196,2024-12,0,1,0,13
M0069,2024-05,9,23,2,20
M0382,2024-02,12,59,8,18
M0284,2024-03,9,93,11,23
M0276,2024-05,2,9,0,19
M0487,2024-08,30,314,29,17
M0186,2024-03,1,6,0,18
