merchant_id,merchant_name,payfac_id,onboard_date,industry,mcc,country,delivery_days,merchant_status
M0001,"Nova Group Learning",PF04,2022-11-09,Education,8299,Nigeria,9,Active
M0002,"Blue Partners Health",PF03,2022-05-02,Healthcare,8011,France,1,Active
M0003,"Summit Gate Retail",PF02,2022-07-01,Retail,5411,"United Kingdom",11,Active
M0004,"Bright Co Events",PF04,2019-05-20,Events,7922,Australia,20,Active
M0005,"River Ventures Retail",PF02,2022-12-06,Retail,5411,Australia,2,Active
M0006,"Cedar Bay Travel",PF04,2022-11-03,Travel,4722,"United Kingdom",81,Active
M0007,"Orbit Collective Health",PF06,2020-09-15,Healthcare,8011,"United States",5,Active
M0008,"Vertex Exchange Learning",PF01,2021-03-08,Education,8299,"United States",7,Active
M0009,"Harbor Loft Digital",PF01,2018-03-21,"Digital Services",5818,Canada,0,Active
M0010,"Falcon Market Cloud",PF02,2022-06-08,SaaS/Subscriptions,5817,India,0,Active
M0011,"Maple Depot Services",PF08,2023-08-09,"Consumer Services",7299,France,3,Active
M0012,"Silver Trail Health",PF05,2020-10-03,Healthcare,8011,India,3,Active
M0013,"Crest Studio Digital",PF01,2021-02-25,"Digital Services",5818,France,1,Active
M0014,"North Hub Stays",PF08,2020-11-29,Hospitality,7011,Germany,1,Active
M0015,"Atlas Works Retail",PF04,2018-06-26,Retail,5411,Canada,2,Active
M0016,"Clover Point Travel",PF04,2021-08-13,Travel,4722,"United States",50,Active
M0017,"Golden Line Stays",PF09,2022-03-17,Hospitality,7011,"United Arab Emirates",1,Active
M0018,"Union Labs Learning",PF01,2023-05-31,Education,8299,Canada,16,Active
M0019,"Prime House Digital",PF02,2023-06-04,"Digital Services",5818,"South Africa",1,Active
M0020,"Echo Field Services",PF05,2020-11-13,"Consumer Services",7299,Canada,5,Active
M0021,"Lumen Group Cloud",PF02,2023-08-05,SaaS/Subscriptions,5817,"United States",0,Active
M0022,"Meridian Partners Cloud",PF06,2021-01-31,SaaS/Subscriptions,5817,Germany,0,Active
M0023,"Anchor Gate Retail",PF02,2021-09-29,Retail,5411,"United States",10,Active
M0024,"Pioneer Co Stays",PF01,2021-07-06,Hospitality,7011,"United States",0,Suspended
M0025,"Aster Ventures Stays",PF02,2023-10-29,Hospitality,7011,Singapore,1,Active
M0026,"Quartz Bay Retail",PF03,2022-04-20,Retail,5411,Australia,9,Active
M0027,"Willow Collective Events",PF01,2018-09-13,Events,7922,Canada,33,Active
M0028,"Beacon Exchange Learning",PF01,2018-06-03,Education,8299,Brazil,13,Active
M0029,"Coral Loft Retail",PF08,2020-05-23,Retail,5411,Australia,3,Active
M0030,"Delta Market Health",PF02,2021-01-03,Healthcare,8011,Canada,1,Active
M0031,"Nova Depot Digital",PF03,2021-11-25,"Digital Services",5818,"United States",1,Active
M0032,"Blue Trail Cloud",PF01,2020-10-22,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0033,"Summit Studio Health",PF03,2021-01-01,Healthcare,8011,"United Arab Emirates",5,Active
M0034,"Bright Hub Digital",PF02,2023-05-18,"Digital Services",5818,Brazil,1,Active
M0035,"River Works Cloud",PF05,2019-12-15,SaaS/Subscriptions,5817,"United States",0,Active
M0036,"Cedar Point Events",PF02,2020-11-17,Events,7922,India,28,Active
M0037,"Orbit Line Learning",PF08,2021-04-02,Education,8299,Singapore,4,Active
M0038,"Vertex Labs Stays",PF09,2020-09-24,Hospitality,7011,"United States",0,Active
M0039,"Harbor House Stays",PF01,2023-08-25,Hospitality,7011,Germany,1,Active
M0040,"Falcon Field Travel",PF01,2023-08-12,Travel,4722,"South Africa",56,Active
