merchant_id,month,transaction_count,transaction_volume,authorisations,successful_authorisations
M0219,2024-02,576,72168.13,607,576
M0058,2024-09,249,17214.17,267,249
M0449,2024-07,408,35456.02,439,408
M0437,2024-08,120,32494.35,122,120
M0347,2024-02,172,14979.31,185,172
M0544,2024-04,4122,1123154.37,4205,4122
M0154,2024-06,280,11993.69,285,280
M0035,2024-07,236,10234.54,246,236
M0346,2024-08,90,1204.34,97,90
M0424,2024-03,419,122827.91,459,419
M0182,2024-08,56,2846.58,61,56
M0576,2024-04,1572,66670.18,1706,1572
M0203,2024-04,275,7424.02,294,275
M0169,2024-07,158,11064.57,165,158
M0334,2024-09,1344,12605.61,1395,1344
M0324,2024-08,7050,2475116.88,7813,7050
M0246,2024-02,184,104941.88,197,184
M0147,2024-09,259,1754.51,281,259
M0037,2024-11,1560,755691.66,1708,1560
M0157,2024-03,1002,42045.58,1061,1002
M0231,2024-04,673,95968.88,722,673
M0174,2024-08,397,54070.48,405,397
M0099,2024-01,7434,533547.46,8079,7434
M0369,2024-05,213,12447.52,234,213
M0529,2024-12,1821,74150.64,2021,1821
M0222,2024-08,101,3090.89,104,101
M0417,2024-08,2395,765530.05,2581,2395
M0236,2024-12,1039,37676.17,1108,1039
M0334,2024-07,1313,9953.68,1453,1313
M0445,2024-10,42,2475.52,43,42
M0493,2024-07,280,16205.10,309,280
M0438,2024-06,140,58224.65,146,140
M0523,2024-03,135,87926.60,140,135
M0031,2024-04,1835,47592.82,2012,1835
M0082,2024-09,166,4070.12,176,166
M0284,2024-01,3969,601219.29,4288,3969
M0037,2024-06,1060,547004.00,1155,1060
M0065,2024-02,163,8687.89,172,163
M0447,2024-02,159,3594.89,175,159
M0166,2024-07,89,2681.27,98,89
M0424,2024-10,417,126336.49,427,417
M0426,2024-04,70,6290.77,78,70
M0094,2024-07,444,5366.55,492,444
M0244,2024-04,1985,15707.87,2155,1985
M0073,2024-04,83,28725.45,89,83
M0109,2024-05,223,12045.93,244,223
M0164,2024-10,49,21046.46,54,49
M0025,2024-01,204,32782.83,210,204
M0271,2024-07,229,87881.83,245,229
M0131,2024-02,198,6762.59,214,198
M0522,2024-01,2033,898771.33,2129,2033
M0329,2024-02,8855,2765830.24,9770,8855
M0485,2024-11,175,5849.74,181,175
M0385,2024-11,1003,129059.46,1103,1003
M0328,2024-12,1779,31983.88,1817,1779
M0595,2024-11,586,31517.42,622,586
M0016,2024-12,237,57614.44,241,237
M0137,2024-06,292,18544.81,309,292
M0008,2024-02,104,31603.51,110,104
M0165,2024-11,2038,94959.21,2245,2038
M0069,2024-09,2416,414503.39,2680,2416
M0252,2024-04,1724,397397.88,1825,1724
M0170,2024-08,65,3854.08,68,65
M0148,2024-09,84,2786.19,86,84
M0463,2024-07,322,83281.62,335,322
M0583,2024-05,319,190763.08,330,319
M0506,2024-05,1479,27472.55,1636,1479
M0472,2024-05,249,3967.63,259,249
M0526,2024-09,259,38302.15,287,259
M0093,2024-09,63,1863.02,64,63
M0533,2024-01,34,7335.23,37,34
M0508,2024-07,5179,402425.16,5368,5179
M0525,2024-06,164,7525.14,182,164
M0084,2024-04,446,210302.90,456,446
M0022,2024-12,8240,390854.57,8936,8240
M0208,2024-03,9182,362550.26,9534,9182
M0233,2024-11,1681,119507.41,1740,1681
M0067,2024-08,218,14547.50,227,218
M0031,2024-09,2068,52765.01,2195,2068
M0088,2024-08,1519,79439.38,1592,1519
M0404,2024-10,993,243022.97,1093,993
M0479,2024-02,671,11295.34,691,671
M0294,2024-02,52,3018.78,56,52
M0207,2024-07,114,2260.44,119,114
M0124,2024-11,2133,1290022.94,2261,2133
M0549,2024-01,1555,386695.67,1625,1555
M0068,2024-02,9683,196639.54,10682,9683
M0370,2024-02,208,4519.16,220,208
M0132,2024-01,110,4416.22,117,110
M0086,2024-07,169,81662.92,186,169
M0060,2024-02,107,4384.73,109,107
M0039,2024-08,2415,712097.11,2453,2415
M0263,2024-06,160,25248.75,169,160
M0442,2024-12,6319,1286416.19,6879,6319
M0584,2024-07,294,86375.95,306,294
M0348,2024-12,461,17026.26,507,461
M0134,2024-10,112,14678.66,122,112
M0442,2024-01,3694,735327.15,3766,3694
M0452,2024-01,85,3768.63,87,85
M0590,2024-08,255,2749.85,271,255
M0165,2024-04,1159,59805.55,1273,1159
M0301,2024-02,127,41702.35,136,127
M0143,2024-12,4796,2315185.25,5038,4796
M0091,2024-01,1625,273674.17,1654,1625
M0379,2024-01,7933,2200525.28,8422,7933
M0305,2024-10,90,5030.38,92,90
M0245,2024-01,188,1899.69,195,188
M0202,2024-08,258,5867.18,266,258
M0113,2024-07,2577,1536625.07,2690,2577
M0110,2024-04,230,60598.10,236,230
M0501,2024-11,56,12617.66,60,56
M0364,2024-05,284,48712.72,307,284
M0371,2024-05,57,1215.19,59,57
M0303,2024-01,208,3905.89,227,208
M0595,2024-07,612,35115.69,640,612
M0070,2024-11,3246,67891.91,3472,3246
M0362,2024-04,79,4055.00,80,79
M0018,2024-01,60,16580.40,65,60
M0232,2024-02,45,985.03,50,45
M0171,2024-01,137,2732.94,152,137
M0062,2024-04,323,45539.49,329,323
M0178,2024-10,234,60302.61,257,234
M0367,2024-04,65,3397.27,68,65
M0095,2024-06,1518,110676.41,1663,1518
M0335,2024-09,111,6099.22,114,111
M0465,2024-01,834,30436.52,863,834
M0038,2024-05,149,21617.99,158,149
M0176,2024-09,830,187616.71,916,830
M0420,2024-10,1533,18374.83,1664,1533
M0600,2024-09,257,126041.92,262,257
M0511,2024-06,331,100176.70,340,331
M0263,2024-04,226,34785.99,249,226
M0312,2024-05,180,12684.71,199,180
M0078,2024-01,8459,268786.99,8628,8459
M0161,2024-10,745,149129.48,814,745
M0346,2024-05,74,959.22,77,74
M0281,2024-06,150,3575.87,157,150
M0091,2024-05,2013,323545.55,2064,2013
M0109,2024-07,215,11489.47,222,215
M0511,2024-02,261,88784.98,274,261
M0334,2024-11,1422,12591.40,1478,1422
M0100,2024-05,75,20890.86,77,75
M0247,2024-04,5430,1823208.01,5548,5430
M0477,2024-06,118,8841.29,128,118
M0305,2024-01,87,4379.00,96,87
M0363,2024-07,310,24222.56,316,310
M0101,2024-08,1437,42128.58,1528,1437
M0033,2024-11,180,9919.25,193,180
M0508,2024-09,5505,404259.36,5823,5505
M0328,2024-06,1657,31110.69,1688,1657
M0169,2024-06,145,11439.24,149,145
M0405,2024-05,250,40280.40,259,250
M0227,2024-05,497,228705.90,535,497
M0155,2024-11,920,103053.65,1000,920
M0188,2024-01,1720,32619.16,1852,1720
M0347,2024-10,210,19105.81,232,210
M0243,2024-08,163,39139.21,170,163
M0452,2024-10,86,4163.06,92,86
M0326,2024-10,386,9012.48,411,386
M0534,2024-03,1090,49061.69,1117,1090
M0354,2024-09,374,19881.40,394,374
M0486,2024-04,113,48868.19,116,113
M0439,2024-08,150,76623.87,154,150
M0216,2024-01,170,13245.29,178,170
M0121,2024-01,55,1467.98,59,55
M0096,2024-09,188,12501.05,201,188
M0171,2024-06,159,3082.90,162,159
M0495,2024-06,558,8228.78,590,558
M0453,2024-11,1225,58563.79,1276,1225
M0448,2024-07,172,27794.76,190,172
M0087,2024-02,44,12152.28,48,44
M0083,2024-04,442,13651.24,456,442
M0577,2024-10,215,37902.59,220,215
M0010,2024-09,314,14326.30,349,314
M0101,2024-04,1483,52201.58,1581,1483
M0006,2024-07,247,176717.90,270,247
M0242,2024-06,141,27173.37,150,141
M0343,2024-01,347,22677.86,381,347
M0109,2024-08,225,12371.82,234,225
M0238,2024-08,173,4543.34,181,173
M0130,2024-03,174,6360.12,190,174
M0556,2024-09,239,86254.75,252,239
M0306,2024-05,85,21033.16,91,85
M0364,2024-04,251,36293.45,272,251
M0284,2024-11,4426,770809.36,4848,4426
M0017,2024-11,78,11538.43,86,78
M0482,2024-08,145,7325.17,153,145
M0088,2024-10,1598,79364.99,1764,1598
M0507,2024-06,2505,829917.68,2665,2505
M0546,2024-10,681,33637.04,754,681
M0175,2024-07,1337,22027.94,1460,1337
M0279,2024-08,323,39145.22,351,323
M0524,2024-06,269,68542.32,278,269
M0459,2024-09,91,1833.66,96,91
M0070,2024-03,2492,50242.85,2568,2492
M0015,2024-04,199,11951.84,202,199
M0504,2024-11,136,18977.67,145,136
M0280,2024-06,819,337747.26,883,819
M0059,2024-08,159,26392.69,173,159
M0061,2024-01,64,9092.68,68,64
M0220,2024-01,163,3647.98,168,163
M0275,2024-04,11618,4912872.59,12210,11618
M0251,2024-12,265,6382.69,285,265
M0148,2024-03,99,3276.31,110,99
M0083,2024-01,398,10985.63,408,398
M0247,2024-10,4881,1666313.49,5037,4881
M0171,2024-10,187,3883.55,199,187
M0501,2024-01,53,12675.63,57,53
M0365,2024-08,167,5570.09,178,167
M0150,2024-02,11069,789699.26,12014,11069
M0196,2024-02,134,59997.23,147,134
M0250,2024-02,172,34983.33,179,172
M0201,2024-04,211,64796.84,217,211
M0260,2024-12,308,65917.80,329,308
M0190,2024-10,644,22516.56,708,644
M0033,2024-09,160,8824.15,176,160
M0390,2024-02,619,30430.12,670,619
M0523,2024-11,124,76483.36,135,124
M0158,2024-05,1871,50999.01,2044,1871
M0151,2024-07,201,71151.13,211,201
M0008,2024-11,106,34807.48,114,106
M0340,2024-09,1884,341050.99,1974,1884
M0403,2024-07,321,116770.93,338,321
M0175,2024-11,1552,24904.34,1653,1552
M0180,2024-06,2311,388152.08,2519,2311
M0553,2024-12,96,45813.72,97,96
M0477,2024-05,118,8791.58,130,118
M0582,2024-03,4318,280995.76,4718,4318
M0100,2024-03,63,18431.44,65,63
M0575,2024-08,252,40538.07,262,252
M0047,2024-07,364,71627.02,378,364
M0280,2024-12,819,383336.45,850,819
M0366,2024-04,159,7426.82,166,159
M0154,2024-11,276,10520.89,294,276
M0013,2024-06,55,398.21,60,55
M0299,2024-01,825,53130.86,869,825
M0236,2024-04,907,33350.91,942,907
M0199,2024-04,9083,99219.06,10005,9083
M0173,2024-05,110,1455.63,119,110
M0599,2024-09,5060,157753.45,5605,5060
M0296,2024-07,129,47720.35,140,129
M0339,2024-06,1091,240610.93,1198,1091
M0190,2024-12,662,23315.02,686,662
M0117,2024-02,237,158664.08,250,237
M0275,2024-07,14720,5788203.38,15617,14720
M0530,2024-06,1747,72809.77,1912,1747
M0502,2024-06,1163,279449.41,1216,1163
M0232,2024-08,57,1316.46,59,57
M0411,2024-06,192,34423.00,201,192
M0205,2024-01,155,19716.88,158,155
M0263,2024-10,205,35167.71,227,205
M0364,2024-10,252,39554.45,262,252
M0015,2024-08,244,14369.51,249,244
M0537,2024-11,2163,61222.19,2355,2163
M0433,2024-01,176,66156.32,184,176
M0015,2024-03,173,11085.32,182,173
M0144,2024-09,219,79821.82,223,219
M0560,2024-01,165,12311.78,170,165
M0541,2024-02,490,49612.69,536,490
M0257,2024-11,235,96829.04,242,235
M0426,2024-12,126,10931.18,139,126
M0358,2024-12,186,28284.74,191,186
M0077,2024-06,111,30416.33,113,111
M0004,2024-05,9812,2075039.96,10530,9812
M0039,2024-06,2408,594565.43,2635,2408
M0125,2024-07,206,8737.39,226,206
M0004,2024-11,10804,2279540.96,11079,10804
M0057,2024-03,104,42558.15,114,104
M0562,2024-06,236,1627.63,261,236
M0195,2024-01,222,51773.71,246,222
M0335,2024-02,138,7415.84,145,138
M0535,2024-09,1655,55404.48,1737,1655
M0430,2024-08,256,59655.38,276,256
M0333,2024-02,58,853.19,61,58
M0460,2024-12,1184,69399.39,1278,1184
M0372,2024-12,103,3630.47,111,103
M0073,2024-09,82,27882.40,85,82
M0294,2024-08,49,2409.59,51,49
M0359,2024-09,221,4684.28,240,221
M0192,2024-12,76,12487.14,81,76
M0223,2024-08,122,4774.96,126,122
M0232,2024-10,63,1363.95,66,63
M0255,2024-10,145,9945.04,156,145
M0207,2024-01,148,2849.03,155,148
M0494,2024-10,219,1735.28,228,219
M0300,2024-11,12144,301588.36,12820,12144
M0102,2024-05,187,8842.61,195,187
M0212,2024-03,93,4556.50,102,93
M0597,2024-12,117,1409.30,125,117
M0459,2024-05,88,1696.47,90,88
M0297,2024-04,307,63186.79,340,307
M0382,2024-07,2656,743714.17,2868,2656
M0151,2024-04,156,48328.09,161,156
M0238,2024-10,150,4114.99,154,150
M0422,2024-02,299,31592.92,304,299
M0568,2024-08,237,12107.38,244,237
M0571,2024-12,401,166926.59,410,401
M0476,2024-07,195,36177.08,199,195
M0028,2024-07,208,66268.37,220,208
M0361,2024-08,910,29570.71,939,910
M0569,2024-08,829,27456.48,898,829
M0129,2024-05,299,18642.39,324,299
M0059,2024-12,187,30034.78,205,187
M0314,2024-05,526,113179.81,540,526
M0010,2024-08,261,12723.01,288,261
M0128,2024-05,286,146857.27,303,286
M0499,2024-08,1262,657505.72,1353,1262
M0288,2024-06,323,107668.65,337,323
M0470,2024-10,490,72076.19,528,490
M0127,2024-12,81,1319.75,89,81
M0121,2024-10,73,1934.67,80,73
M0099,2024-09,9510,714713.88,10130,9510
M0011,2024-06,242,4999.77,253,242
M0507,2024-04,1901,645075.42,1933,1901
M0590,2024-09,251,2623.19,261,251
M0385,2024-06,963,125635.11,1055,963
M0093,2024-02,58,1692.62,62,58
M0063,2024-12,202,38432.30,219,202
M0085,2024-05,226,9024.79,249,226
M0173,2024-01,93,1210.28,97,93
M0177,2024-05,315,6859.25,327,315
M0110,2024-08,324,84970.49,346,324
M0319,2024-12,816,20216.03,889,816
M0222,2024-05,79,2109.84,84,79
M0429,2024-10,46,5286.43,48,46
M0173,2024-08,106,1406.30,114,106
M0188,2024-12,1311,26322.67,1379,1311
M0193,2024-06,196,43884.57,199,196
M0038,2024-09,161,25898.67,179,161
M0528,2024-02,188,31921.77,204,188
M0544,2024-11,4799,1350774.11,5242,4799
M0106,2024-06,5073,169391.29,5166,5073
M0156,2024-11,253,3377.93,270,253
M0585,2024-05,1945,58281.47,2076,1945
M0515,2024-08,880,30055.27,915,880
M0087,2024-11,53,14414.06,54,53
M0094,2024-01,443,5309.17,492,443
M0133,2024-02,33,1954.09,34,33
M0393,2024-11,279,7855.02,309,279
M0003,2024-05,196,4004.64,202,196
M0075,2024-06,1218,41079.63,1345,1218
M0041,2024-12,1700,49566.78,1844,1700
M0116,2024-04,49,12806.57,51,49
M0325,2024-10,1381,945374.99,1512,1381
M0507,2024-12,2417,851838.65,2628,2417
M0192,2024-02,49,9241.79,53,49
M0415,2024-04,11918,1332773.20,12735,11918
M0121,2024-05,65,1798.55,67,65
M0498,2024-12,152,49566.08,162,152
M0245,2024-11,211,2214.98,233,211
M0045,2024-02,125,8621.06,131,125
M0011,2024-04,222,3960.80,232,222
M0555,2024-05,1618,39442.93,1767,1618
M0354,2024-03,302,16321.16,307,302
M0023,2024-02,107,2767.78,111,107
M0448,2024-02,213,36497.47,226,213
M0555,2024-12,1618,36658.80,1766,1618
M0558,2024-08,290,18650.56,301,290
M0017,2024-01,78,11363.18,82,78
M0570,2024-02,1163,72338.53,1202,1163
M0011,2024-08,233,4148.50,243,233
M0565,2024-06,315,52233.96,321,315
M0035,2024-06,215,8685.87,220,215
M0259,2024-01,252,96419.18,260,252
M0071,2024-03,1266,14296.46,1400,1266
M0584,2024-01,166,51260.80,175,166
M0062,2024-11,291,43324.07,313,291
M0462,2024-03,867,226992.85,896,867
M0453,2024-04,811,36828.51,884,811
M0566,2024-03,1001,47924.29,1053,1001
M0186,2024-07,255,35599.03,280,255
M0302,2024-10,44,2511.83,46,44
M0301,2024-08,204,67678.95,214,204
M0087,2024-05,52,15245.39,57,52
M0117,2024-07,363,252247.13,374,363
M0203,2024-06,281,8788.78,299,281
M0321,2024-02,519,12459.42,563,519
M0447,2024-09,170,3920.34,173,170
M0188,2024-07,1471,26870.79,1562,1471
M0216,2024-06,207,16358.94,227,207
M0326,2024-05,356,8608.99,390,356
M0441,2024-06,1728,42848.19,1908,1728
M0118,2024-10,524,28783.83,560,524
M0226,2024-06,92,2288.25,97,92
M0073,2024-10,81,27255.34,84,81
M0459,2024-04,84,1554.41,88,84
M0139,2024-01,271,21334.37,297,271
M0096,2024-01,119,7932.05,125,119
M0096,2024-04,163,10982.25,181,163
M0282,2024-11,259,101790.32,287,259
M0340,2024-06,2815,542345.87,3084,2815
M0443,2024-07,373,226976.61,381,373
M0559,2024-01,1605,40804.02,1641,1605
M0315,2024-06,141,2701.37,147,141
M0280,2024-07,832,328829.82,887,832
M0140,2024-12,997,137248.16,1087,997
M0042,2024-11,925,111281.25,1004,925
M0067,2024-01,189,11916.45,194,189
M0475,2024-07,253,18322.84,280,253
M0229,2024-12,302,22523.13,327,302
M0549,2024-07,2617,601823.99,2692,2617
M0263,2024-08,297,48497.63,310,297
M0066,2024-06,1339,230542.87,1434,1339
M0431,2024-09,178,1196.84,186,178
M0339,2024-12,1398,318694.17,1474,1398
M0537,2024-08,1970,53511.29,2168,1970
M0585,2024-10,2146,57454.71,2251,2146
M0489,2024-01,257,3352.06,275,257
M0368,2024-01,4099,107990.51,4414,4099
M0230,2024-10,197,4782.89,204,197
M0535,2024-11,1421,43329.16,1463,1421
M0179,2024-01,4256,207481.15,4647,4256
M0027,2024-07,1855,472319.96,1985,1855
M0492,2024-12,420,12210.56,454,420
M0029,2024-06,508,10855.88,555,508
M0308,2024-03,2175,67804.27,2377,2175
M0267,2024-09,798,185247.25,851,798
M0248,2024-10,136,5253.28,149,136
M0254,2024-07,618,174365.84,670,618
M0259,2024-09,276,105486.97,295,276
M0341,2024-11,2822,227959.89,3100,2822
M0009,2024-02,253,2653.83,273,253
M0506,2024-11,1440,28007.06,1521,1440
M0372,2024-02,52,1841.37,54,52
M0227,2024-03,562,245135.13,605,562
M0056,2024-06,213,5199.43,235,213
M0051,2024-08,247,12067.20,270,247
M0509,2024-05,360,66802.12,382,360
M0329,2024-06,13319,3931401.84,14089,13319
M0506,2024-04,1427,28121.90,1578,1427
M0286,2024-04,55,1237.38,58,55
M0577,2024-11,251,48127.23,274,251
M0194,2024-06,205,51576.23,223,205
M0474,2024-04,270,3647.63,285,270
M0504,2024-09,163,21082.25,172,163
M0333,2024-05,71,1071.36,76,71
M0506,2024-08,1346,23205.69,1495,1346
M0421,2024-11,637,9245.35,649,637
M0461,2024-07,2211,1386028.38,2296,2211
M0513,2024-09,1460,839150.03,1566,1460
M0504,2024-04,132,17770.56,145,132
M0166,2024-11,95,2931.11,99,95
M0353,2024-08,159,79730.54,170,159
M0426,2024-11,98,8129.01,103,98
M0398,2024-10,1151,48023.64,1175,1151
