merchant_id,website_policy_issue,refund_policy_issue,contact_information_issue,website_risk_score,reputation_score,adverse_media_flag
M0001,0,0,0,50,79,1
M0002,0,0,1,23,81,0
M0003,0,0,0,29,76,0
M0004,1,1,0,72,39,1
M0005,0,0,1,12,76,0
M0006,0,1,0,23,77,0
M0007,0,0,0,20,73,0
M0008,0,0,0,16,81,0
M0009,1,0,0,33,76,0
M0010,0,0,0,6,85,0
M0011,0,0,0,11,99,0
M0012,0,0,0,31,83,0
M0013,0,0,0,14,80,0
M0014,0,0,0,7,100,0
M0015,0,0,0,12,70,0
M0016,0,0,0,20,87,0
M0017,0,0,0,21,91,0
M0018,0,1,0,31,57,0
M0019,0,0,1,27,71,0
M0020,1,0,0,39,70,0
M0021,0,0,0,26,95,0
M0022,0,0,0,4,81,0
M0023,0,0,0,49,83,0
M0024,0,0,0,33,77,0
M0025,0,0,0,20,73,0
M0026,0,0,0,24,91,0
M0027,0,0,0,22,76,0
M0028,0,0,1,46,71,0
M0029,1,0,0,29,71,0
M0030,0,0,0,13,79,0
M0031,0,0,0,44,60,1
M0032,0,0,0,2,81,0
M0033,0,0,0,0,98,0
M0034,0,1,0,31,89,0
M0035,0,0,0,30,84,0
M0036,0,0,0,0,97,0
M0037,0,0,0,8,87,0
M0038,0,0,0,11,88,0
M0039,1,0,0,37,67,0
M0040,0,0,0,32,86,0
M0041,0,0,0,25,78,0
M0042,0,1,0,30,75,0
M0043,0,0,0,23,90,0
M0044,1,0,0,42,77,0
M0045,0,0,0,26,86,0
M0046,0,0,0,14,81,0
M0047,0,0,0,0,72,0
M0048,0,1,0,54,80,0
M0049,0,0,0,0,95,0
M0050,0,0,0,41,95,0
M0051,0,0,0,20,82,0
M0052,0,0,0,28,86,0
M0053,0,0,0,26,75,0
M0054,0,0,0,24,75,0
M0055,0,0,0,26,94,0
M0056,0,0,0,11,96,0
M0057,0,0,0,25,82,0
M0058,0,0,0,0,69,0
M0059,0,0,0,32,95,0
M0060,0,0,0,0,88,0
M0061,1,0,0,23,85,0
M0062,0,0,0,27,84,0
M0063,1,0,0,52,73,0
M0064,0,0,0,27,83,0
M0065,1,0,0,6,73,0
M0066,0,1,0,35,81,0
M0067,0,0,0,13,88,0
M0068,0,0,0,21,92,0
M0069,0,0,0,42,80,0
M0070,0,1,0,61,48,1
M0071,0,0,0,17,94,0
M0072,0,0,0,1,66,0
M0073,0,0,0,4,81,0
M0074,0,0,0,18,91,0
M0075,0,0,0,27,83,0
M0076,0,1,0,34,69,0
M0077,0,1,0,21,74,0
M0078,0,0,0,30,89,0
M0079,0,0,1,20,59,0
M0080,0,0,0,18,85,0
M0081,0,0,0,36,89,0
M0082,0,0,0,9,89,0
M0083,0,0,0,17,82,0
M0084,0,0,0,25,72,0
M0085,0,0,1,7,65,0
M0086,1,0,1,46,68,0
M0087,0,0,0,22,100,0
M0088,0,0,0,0,84,0
M0089,0,0,0,23,95,0
M0090,0,0,0,0,78,0
M0091,0,0,0,38,81,0
M0092,0,0,0,21,75,0
M0093,0,0,0,5,93,0
M0094,0,0,0,0,83,0
M0095,0,0,0,42,94,0
M0096,0,0,0,21,74,0
M0097,1,1,0,65,87,0
M0098,1,0,0,12,71,0
M0099,0,1,0,36,81,0
M0100,0,0,0,26,81,0
M0101,0,1,0,28,84,0
M0102,0,0,0,4,87,0
M0103,0,0,0,21,79,0
M0104,0,0,0,16,68,0
M0105,0,0,0,35,100,0
M0106,0,0,0,15,75,0
M0107,0,0,0,19,100,0
M0108,0,0,0,21,93,0
M0109,0,0,0,38,99,0
M0110,0,1,0,40,80,0
M0111,0,0,0,28,75,0
M0112,0,0,0,5,80,0
