merchant_id,website_policy_issue,refund_policy_issue,contact_information_issue,website_risk_score,reputation_score,adverse_media_flag
M0001,0,0,0,50.0,79.0,1
M0002,0,0,1,23.0,81.0,0
M0003,0,0,0,29.0,76.0,0
M0004,1,1,0,72.0,39.0,1
M0005,0,0,1,12.0,76.0,0
M0006,0,1,0,23.0,77.0,0
M0007,0,0,0,20.0,73.0,0
M0008,0,0,0,16.0,81.0,0
M0009,1,0,0,33.0,76.0,0
M0010,0,0,0,6.0,85.0,0
M0011,0,0,0,11.0,99.0,0
M0012,0,0,0,31.0,83.0,0
M0013,0,0,0,14.0,80.0,0
M0014,0,0,0,7.0,100.0,0
M0015,0,0,0,12.0,70.0,0
M0016,0,0,0,20.0,87.0,0
M0017,0,0,0,21.0,91.0,0
M0018,0,1,0,31.0,57.0,0
M0019,0,0,1,27.0,71.0,0
M0020,1,0,0,39.0,70.0,0
M0021,0,0,0,26.0,95.0,0
M0022,0,0,0,4.0,81.0,0
M0023,0,0,0,49.0,83.0,0
M0024,0,0,0,33.0,77.0,0
M0025,0,0,0,20.0,73.0,0
M0026,0,0,0,24.0,91.0,0
M0027,0,0,0,22.0,76.0,0
M0028,0,0,1,46.0,71.0,0
M0029,1,0,0,29.0,71.0,0
M0030,0,0,0,13.0,79.0,0
M0031,0,0,0,44.0,60.0,1
M0032,0,0,0,2.0,81.0,0
M0033,0,0,0,0.0,98.0,0
M0034,0,1,0,31.0,89.0,0
M0035,0,0,0,30.0,84.0,0
M0036,0,0,0,0.0,97.0,0
M0037,0,0,0,8.0,87.0,0
M0038,0,0,0,11.0,88.0,0
M0039,1,0,0,37.0,67.0,0
M0040,0,0,0,32.0,86.0,0
M0041,0,0,0,25.0,78.0,0
M0042,0,1,0,30.0,75.0,0
M0043,0,0,0,23.0,90.0,0
M0044,1,0,0,42.0,77.0,0
M0045,0,0,0,26.0,86.0,0
M0046,0,0,0,14.0,81.0,0
M0047,0,0,0,0.0,72.0,0
M0048,0,1,0,54.0,80.0,0
M0049,0,0,0,0.0,95.0,0
M0050,0,0,0,41.0,95.0,0
M0051,0,0,0,20.0,82.0,0
M0052,0,0,0,28.0,86.0,0
M0053,0,0,0,26.0,75.0,0
M0054,0,0,0,24.0,75.0,0
M0055,0,0,0,26.0,94.0,0
M0056,0,0,0,11.0,96.0,0
M0057,0,0,0,25.0,82.0,0
M0058,0,0,0,0.0,69.0,0
M0059,0,0,0,32.0,95.0,0
M0060,0,0,0,0.0,88.0,0
M0061,1,0,0,23.0,85.0,0
M0062,0,0,0,27.0,84.0,0
M0063,1,0,0,52.0,73.0,0
M0064,0,0,0,27.0,83.0,0
M0065,1,0,0,6.0,73.0,0
M0066,0,1,0,35.0,81.0,0
M0067,0,0,0,13.0,88.0,0
M0068,0,0,0,21.0,92.0,0
M0069,0,0,0,42.0,80.0,0
M0070,0,1,0,61.0,48.0,1
M0071,0,0,0,17.0,94.0,0
M0072,0,0,0,1.0,66.0,0
M0073,0,0,0,4.0,81.0,0
M0074,0,0,0,18.0,91.0,0
M0075,0,0,0,27.0,83.0,0
M0076,0,1,0,34.0,69.0,0
M0077,0,1,0,21.0,74.0,0
M0078,0,0,0,30.0,89.0,0
M0079,0,0,1,20.0,59.0,0
M0080,0,0,0,18.0,85.0,0
M0081,0,0,0,36.0,89.0,0
M0082,0,0,0,9.0,89.0,0
M0083,0,0,0,17.0,82.0,0
M0084,0,0,0,25.0,72.0,0
M0085,0,0,1,7.0,65.0,0
M0086,1,0,1,46.0,68.0,0
M0087,0,0,0,22.0,100.0,0
M0088,0,0,0,0.0,84.0,0
M0089,0,0,0,23.0,95.0,0
M0090,0,0,0,0.0,78.0,0
M0091,0,0,0,38.0,81.0,0
M0092,0,0,0,21.0,75.0,0
M0093,0,0,0,5.0,93.0,0
M0094,0,0,0,0.0,83.0,0
M0095,0,0,0,42.0,94.0,0
M0096,0,0,0,21.0,74.0,0
M0097,1,1,0,65.0,87.0,0
M0098,1,0,0,12.0,71.0,0
M0099,0,1,0,36.0,81.0,0
M0100,0,0,0,26.0,81.0,0
M0101,0,1,0,28.0,84.0,0
M0102,0,0,0,4.0,87.0,0
M0103,0,0,0,21.0,79.0,0
M0104,0,0,0,16.0,68.0,0
M0105,0,0,0,35.0,100.0,0
M0106,0,0,0,15.0,75.0,0
M0107,0,0,0,19.0,100.0,0
M0108,0,0,0,21.0,93.0,0
M0109,0,0,0,38.0,99.0,0
M0110,0,1,0,40.0,80.0,0
M0111,0,0,0,28.0,75.0,0
M0112,0,0,0,5.0,80.0,0
M0113,0,0,0,45.0,82.0,0
M0114,0,0,0,4.0,80.0,0
M0115,1,1,0,45.0,62.0,0
M0116,0,0,0,4.0,80.0,0
M0117,0,1,0,45.0,100.0,0
M0118,0,0,0,10.0,97.0,0
M0119,0,0,0,2.0,85.0,0
M0120,0,0,0,15.0,75.0,0
M0121,0,0,0,28.0,82.0,0
M0122,1,0,0,39.0,75.0,0
M0123,0,0,1,6.0,88.0,0
M0124,1,0,0,12.0,71.0,0
M0125,0,0,0,20.0,81.0,0
M0126,0,0,0,37.0,97.0,0
M0127,0,0,0,28.0,85.0,0
M0128,0,0,0,4.0,97.0,0
M0129,0,0,0,0.0,87.0,0
M0130,0,1,0,48.0,60.0,1
M0131,0,0,0,9.0,89.0,0
M0132,0,0,0,32.0,96.0,0
M0133,0,0,0,27.0,84.0,0
M0134,0,0,0,1.0,97.0,0
M0135,0,0,0,17.0,79.0,0
M0136,0,0,0,14.0,86.0,0
M0137,0,0,0,37.0,58.0,1
M0138,1,0,0,46.0,88.0,0
M0139,0,1,0,36.0,67.0,0
M0140,1,0,0,45.0,75.0,0
M0141,0,0,0,17.0,90.0,0
M0142,0,0,0,37.0,91.0,0
M0143,1,0,0,3.0,79.0,0
M0144,0,0,0,4.0,94.0,0
M0145,0,0,0,10.0,99.0,0
M0146,0,0,0,12.0,74.0,0
M0147,0,1,0,27.0,82.0,0
M0148,0,0,0,26.0,88.0,0
M0149,0,0,0,24.0,81.0,0
M0150,0,1,0,43.0,77.0,0
M0151,0,1,0,29.0,61.0,0
M0152,0,0,0,13.0,69.0,0
M0153,0,0,0,9.0,91.0,0
M0154,0,0,0,29.0,83.0,0
M0155,0,0,0,31.0,86.0,0
M0156,0,0,0,30.0,71.0,0
M0157,0,0,0,2.0,97.0,0
M0158,0,0,0,24.0,90.0,0
M0159,0,0,0,25.0,77.0,0
M0160,0,1,0,40.0,67.0,0
M0161,0,0,0,17.0,70.0,0
M0162,0,0,0,35.0,84.0,0
M0163,0,1,0,41.0,74.0,0
M0164,0,0,0,22.0,71.0,0
M0165,0,0,0,10.0,79.0,0
M0166,0,0,0,0.0,98.0,0
M0167,0,1,0,47.0,58.0,0
M0168,0,0,0,19.0,85.0,0
M0169,0,0,0,25.0,81.0,0
M0170,1,0,0,62.0,63.0,1
M0171,0,0,0,20.0,65.0,0
M0172,0,0,0,23.0,80.0,0
M0173,0,0,0,12.0,92.0,0
M0174,0,0,0,37.0,100.0,0
M0175,0,0,0,43.0,81.0,0
M0176,0,0,0,30.0,73.0,0
M0177,1,1,0,35.0,68.0,0
M0178,0,0,0,0.0,74.0,0
M0179,0,0,0,34.0,96.0,0
M0180,0,0,0,16.0,90.0,0
M0181,0,0,0,7.0,78.0,0
M0182,1,0,0,34.0,82.0,0
M0183,0,0,0,32.0,63.0,0
M0184,0,0,0,26.0,77.0,0
M0185,0,0,0,26.0,91.0,0
M0186,0,0,0,43.0,81.0,0
M0187,0,0,0,21.0,84.0,0
M0188,0,0,0,19.0,100.0,0
M0189,0,1,0,37.0,75.0,0
M0190,0,0,0,15.0,90.0,0
M0191,0,0,0,26.0,72.0,0
M0192,0,0,0,70.0,68.0,1
M0193,0,0,0,23.0,100.0,0
M0194,0,0,0,25.0,83.0,0
M0195,0,0,0,9.0,86.0,0
M0196,0,0,0,5.0,83.0,0
M0197,0,0,1,41.0,69.0,0
M0198,0,0,0,0.0,86.0,0
M0199,0,0,0,31.0,100.0,0
M0200,0,0,0,23.0,81.0,0
M0201,0,0,0,33.0,91.0,0
M0202,0,0,0,0.0,90.0,0
M0203,0,0,0,30.0,100.0,0
M0204,0,0,1,48.0,69.0,0
M0205,0,0,0,16.0,66.0,0
